,Name of Site/Page,Type (page/group/person),URL,Language,Person Monitoring
,@KenyaGovernors,twitter,https://twitter.com/KenyaGovernors,English,umati 2
,@makaumutua,twitter,https://twitter.com/makaumutua,English,umati 2
,10 million kenyans to support uhuru kenyatta for presidency.,,http://www.facebook.com/kenyans.uhuru,english,umati 1
,Antony Oyugi,,http://www.facebook.com/oyugit,English,umati 1
,Bensouda drop uhuru/ruto cases they are fabricated,pages,https://www.facebook.com/BensoudaDropUhururutoIccCasesTheyAreFabricated,English and Swahili,umati 2
,Bogonko Bosire,Person,http://www.facebook.com/bogonko.bosire,English/Kiswahili,Umati 4
,Bunge La Mwananchi,,http://www.facebook.com/groups/bungelawananchi/,,umati 1
,bungoma county,Group,http://www.facebook.com/groups/bungomacounty/,English/Kiswahili,Umati 4
1,Bunyore Discussion Board,Groups,http://www.facebook.com/bunyore.board?fref=ts,English/Kiswahili,Umati 4
,Caroline Mutoko,,http://www.facebook.com/carolinemutoko,English,umati 1
,Chamgei FM Radio,,http://www.facebook.com/pages/Chamgei-FM/150589741636194,English/Kalenjin,AnthonyUmati3
,citizen news,Pages,https://www.facebook.com/pages/Citizen-News/195670785802?hc_location=stream,English,umati 2
,Citizen TV Kenya,,http://www.facebook.com/pages/Citizen-TV-Kenya/261061365404,english/kiswahili,Umati 1
,Coalition for Reform and Democracy - CORD Railonzo 2013,,http://www.facebook.com/Railonzo2013,English,Umati5
,concil of governors ,Facebook page ,https://www.facebook.com/CouncilofGovernors?sk=wall&filter=2&notif_t=wall,English,umati 2
,Council of Geovernors.,website,http://www.cog.go.ke,English,umati 2
,COUNTY 411,blog,http://www.county411.co.ke/?cat=16,english,umati 2
,Crazy Kenyan Idlers,,http://www.facebook.com/crazyidlers,english,Umati5
1,DAILY NATION,,http://www.facebook.com/DailyNation,English,All
,Daniel Toroitich Arap Moi,,http://www.facebook.com/danieltoroiticharapmoi1,English/Kalenjin,AnthonyUmati3
,Exposing Dennis Itumbi's propaganda about the ICC,,http://www.facebook.com/ExposingTheIgnorantYoungManInDennisItumbi,english,All
,forum for united counties of kenya,group,https://www.facebook.com/groups/countiesforum/,English,umati 2
,Friends of Raila 2012,,http://www.facebook.com/friendsofraila,english,Umati 5
,FRIENDS OF UHURU AND TNA(F.O.T.N.A),,http://www.facebook.com/groups/457645030916050/,English,umati 1
,ICC kenya monitor,blog,http://www.icckenya.org,English,umati 2
,Icc must leave uhuru kenyatta and william ruto alone,group,https://www.facebook.com/pages/ICC-Must-Leave-Uhuru-Kenyatta-and-William-Ruto-Alone/356377367804085,English,umati 2
,Icc trial monitor,Group,https://www.facebook.com/pages/ICC-Trial-Monitor/430439110325598,English,umati 2
,"I'm proud to be  Kalenjin, and i'll say it loud",,http://www.facebook.com/kalenjins,English/Kalenjin,AnthonyUmati3
,Jaluo Ng'ama Riek,Facebook page,https://www.facebook.com/groups/142216540104/,Luo,Umati5
,jeff koinange,facebook page,https://www.facebook.com/jeff.m.koinange?fref=ts&ref=br_tf,,umati 1
,Joshua arap Sang,,http://www.facebook.com/joshua.arapsang,English/Kalenjin,AnthonyUmati3
,K24 TV,,http://www.facebook.com/pages/K24-TV/187678903140?ref=stream,English,Umati5
,k24 tv,Pages,https://www.facebook.com/K24TVNews?hc_location=stream,English,umati 2
,kahawa tungu,blog,http://kahawatungu.com,english,umati1
,Kalenjin Infocentre,,http://www.facebook.com/kalenjin.infocentre,English/Kalenjin,AnthonyUmati3
,Kalenjin Net,,http://www.facebook.com/KALENJINNET,English/Kalenjin,AnthonyUmati3
,Kalenjin Professionals Association(K.P.A),,http://www.facebook.com/groups/277397018957469/,Kalenjin,AnthonyUmati3
,Kalenjin wall,,http://www.facebook.com/groups/kalenjinwall/#!/groups/kalenjinwall/,English/Kalenjin,AnthonyUmati3
,KALENJIN YOUTH ALLIANCE (KALYA),,http://www.facebook.com/groups/kalya/,English/Kalenjin,AnthonyUmati3
,kenya county updates and Developments,page,https://www.facebook.com/pages/Kenya-County-Updates-and-Development/466239656780047,English,umati 2
,kenya news updates,website,http://www.kenyanewsupdates.com,English,
,kenya reporting,website,http://reportingkenya.net/reports/further-threats-to-iccs-kenya-witnesses/,English,umati 2
,kenya today,blog,http://www.kenya-today.com,English,umati 2
,Kenyan Politics Discussions,,http://www.facebook.com/kenyanpoliticsforum?ref=stream,English,AnthonyUmati
,Kenyan University Students for Uhuru Kenyatta,,http://www.facebook.com/KenyanUniversityStudentsForUhuruKenyatta,english,umati 1
,KenyanList.com,,http://www.facebook.com/pages/KenyanListcom/135235171598?ref=stream,English,
,Kenyan's against Citizen TV biasness,,http://www.facebook.com/pages/Kenyans-against-Citizen-TV-biasness/469911399733997?ref=stream,English,Umati5
,Kenyans Agaisnt Uhuruto 2013,,http://www.facebook.com/KenyansUnitedAgainstUhuruto2013,English,umati 1
,Kev Lahm,,http://www.facebook.com/kev.lahm,english/kiswahili,umati 1
,kiambu county government,page,https://www.facebook.com/pages/Kiambu-County-Government-Kenya/369180626526897,English and swahili,
,Kisumu COUNTY ,Facebook page,https://www.facebook.com/groups/countyksm/,Luo and English,Umati5
,Kitwek Fm[ Official Fanpage],,http://www.facebook.com/kitwekfm,English/Kalenjin,AnthonyUmati3
