Name of Site/Page,FacebookURL
jeff koinange,jeff.m.koinange
The standard media group,standardkenya
The wazi campaign,TheWaziCampaign
concil of governors ,CouncilofGovernors
Icc must leave uhuru kenyatta and william ruto alone,356377367804085
Icc trial monitor,430439110325598
Bunyore Discussion Board,bunyore.board
kenya county updates and Developments,466239656780047
kiambu county government,369180626526897
Bensouda drop uhuru/ruto cases they are fabricated,BensoudaDropUhururutoIccCasesTheyAreFabricated
citizen news,195670785802
k24 tv,K24TVNews
luhyas against being bought by the kenyatta money,487760644613563
Powerbreakfastshow,117941667695
the east african,TheEastAfrican
university of nairobi,lists/104435146379281
Bogonko Bosire,bogonko.bosire
Koigi Wa wamwere ,koigi.wawamwere
Okiya Omutata Okoiti,Mankokopelli
Yvonne Khamati,yvonne.khamatikilonzo
makau mutua,210527812318268
10 million kenyans to support uhuru kenyatta for presidency.,kenyans.uhuru
Antony Oyugi,oyugit
Caroline Mutoko,carolinemutoko
Chamgei FM Radio,150589741636194
Citizen TV Kenya,261061365404
Coalition for Reform and Democracy - CORD Railonzo 2013,Railonzo2013
Crazy Kenyan Idlers,crazyidlers
DAILY NATION,DailyNation
Daniel Toroitich Arap Moi,danieltoroiticharapmoi1
Exposing Dennis Itumbi's propaganda about the ICC,ExposingTheIgnorantYoungManInDennisItumbi
Friends of Raila 2012,friendsofraila
"I'm proud to be  Kalenjin, and i'll say it loud",kalenjins
Joshua arap Sang,joshua.arapsang
K24 TV,187678903140
Kalenjin Infocentre,kalenjin.infocentre
Kalenjin Net,KALENJINNET
Kenyan Politics Discussions,kenyanpoliticsforum
Kenyan University Students for Uhuru Kenyatta,KenyanUniversityStudentsForUhuruKenyatta
KenyanList.com,135235171598
Kenyan's against Citizen TV biasness,469911399733997
Kenyans Agaisnt Uhuruto 2013,KenyansUnitedAgainstUhuruto2013
Kev Lahm,kev.lahm
Kitwek Fm[ Official Fanpage],kitwekfm
KTN Kenya,KTNKenya
Makau W. Mutua,210527812318268
Martha Karua,MarthaKarua
Mike Magero,michael.magero
Mike Sonko.,148950081810015
Mwalimu Elphas Kipleting Maiyo,elphas.kipleting
My DNA is TNA,MyDNAisTNA
NOT Another Kikuyu President Please,255613137906935
NTV Kenya,NTVKenya
Peter Kenneth,honpeterkenneth
Politics Kenyan Style,169043916552736
R.I.P CORD Alliance,411068815637967?ref=stream
Raila Odinga,301058486666221
RIP SK Macharia,184931334979430
Robert Alai Onyango (Robert Alai),robertalai
Shadow Election Kenya.,ShadowElectionKenya
STOP RAILA ODINGA NOW!!!!!,202020968833
Suleiman Shahbal for Governor 2012,SuleimanShahbalforMombasaGovernor
SWAHILI HUB,178748538891851
Swing Vote 2013,SwingVote2013
Television Viewers and Radio Listeners Association of Kenya,103088839785488
The Kenyan Daily POST,271776752878863
The National Alliance Party,The.National.Alliance.Party
The Standard Media Group,standardmedia
"The Star, Kenya",thestarkenya
Uhuru Kenyatta,myuhurukenyatta
Uhuruto,375462532528566
UhuRuto 2013,511463618874978
Uongozi Kenya,UongoziKenya
William Ruto Samoei,williamsamoei/
